4	圈	1	收管、關住。
	圈	1	把四周包圍、環繞起來。
	圈	1	畫圈作記號。
	圈	1	外圓中空的東西或形狀。
	圈	1	飼養獸畜的地方。
	圈	2	普通名詞。圓形的符號，人類用來表示肯定。
	圈	2	普通名詞。物體維持本身的軸心，做出的連續改變方向的運動。
	圈	2	普通名詞。同一緯度的點所連結起來的頭尾相連的假想線。
	圈	3	專有名詞。姓。
	圈	3	計算事件從開始到結束的過程的單位。
	圈	3	普通名詞。接尾詞。飼養牲畜的地方，通常以柵欄圍起來。
	圈	3	畫圈做記號。
	圈	3	計算麻將局數的單位，四位參與者都輪流當過莊家即稱為一圈。
	圈	3	計算圈狀物的單位。
	圈	3	普通名詞。一個由人際關係、社會活動、職業或勢力所限定的抽象範圍。常用接尾詞。
	圈	3	普通名詞。物體繞著軸心，做出的圓周運動。
	圈	3	藉由限定範圍將特定對象隔離在內。
	圈	3	普通名詞。以經濟活動所定義的地理區域。常用接尾詞。
	圈	3	普通名詞。麻將局數的單位，四位參與者都輪流當過莊家即稱為一圈。
	圈	3	普通名詞。由起點沿著大致為圓形的路徑回到原點而圍成的形狀。
	圈	3	普通名詞。接尾詞。圈狀物品。
	圈	3	計算物體維持本身的軸心，做出的連續改變方向的運動的單位。
	圈	3	計算物體繞著軸心，做出的圓周運動的單位。
3	會	1	時機。
	會	1	可能。多用於疑問語氣。
	會	1	瞭解、領悟。
	會	1	能、能夠。
	會	1	大城市、行政中心。
	會	1	集合、聚合。
	會	1	為一定目的成立的團體組織。
	會	2	統計、計算。
	會	2	具有做後述事件的強烈傾向。
	會	2	多數人的集會、聚會。
	會	2	相見、見面。
	會	2	付款。
	會	3	普通名詞。民間一種小規模經濟互助組織。
	會	3	普通名詞。多數人為特定目標的聚集。
	會	3	時間詞。接尾詞。很短的時間。「會兒」、「一會兒」的簡省。
	會	3	面對面相見。
	會	3	表在通常狀況下，有可能實現。
	會	3	表條件符合，就一定實現。
	會	3	地方詞。為了共同目的，成立的團體組織。常用接尾詞。
	會	3	普通名詞。時機。
	會	3	結交朋友，用於「以…會友」。
4	本	1	事物的本原、根源。
	本	1	主要的、中心的。
	本	1	演出的底本。
	本	2	普通名詞。貨物的生產運輸過程中所花費的金錢。
	本	2	計算裝訂成的書冊的單位。
	本	2	稱自己或自己這方。
	本	2	普通名詞。接尾詞。同一書籍因編輯形式或裝訂方式的不同而產生的不同本子。
	本	2	起初的、原來的。
	本	2	書籍、字畫、碑帖等。
	本	2	現在的、目前的。
	本	2	普通名詞。比喻達成特定事件可以憑藉的條件。
	本	2	接頭詞。形容最主要的。
	本	2	表沒有經過改變的，或者改變之前的。
	本	2	表理所當然。
	本	2	計算戲劇作品的段落的單位。
	本	2	指正在經歷的後述時段。
	本	2	指最主要的，相對於其分出的其他對象。
	本	2	古代奏達皇帝的文書。
	本	2	根據、依憑。
	本	3	指時空上距離說話者較近的後述對象。
	本	3	引介出處。
	本	3	專有名詞。姓。
	本	3	指說話者所屬的團體。
	本	3	普通名詞。戲劇作品的段落。
	本	3	普通名詞。比喻事件發展的基礎。常用「…之本」。
	本	3	母金、資金。
	本	3	普通名詞。裝訂成書籍形式的物品。
	本	3	普通名詞。可以用於營利或其他事業的資金。
	本	3	普通名詞。草木的根莖部位。
	本	3	計算花木的單位。
	本	3	普通名詞。事件遵循的基礎。
	本	3	將特定對象作為言論或行動的基礎。
	本	3	普通名詞。事物的本源。
